음식이름,검색량,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,10대,20대,30대,40대,50대,남성,여성
돈까스,165000,8.2,8,8.4,8.4,8.5,8.4,8.8,9.1,8.2,8.2,7.8,8.2,7.3,26.5,34.5,24.8,6.9,43.8,56.2
떡볶이,235000,8.3,8.2,8.3,8,8,8,8.2,9.2,8.5,8.6,8.1,8.7,11.5,24.6,29.1,27.1,7.7,32,68
파스타,113000,8.5,8.2,3,8.2,8.3,8.5,8.1,8.5,8.6,8.6,7.8,8.6,12.3,29.5,29.1,21.3,7.8,31,69
마라탕,393000,6.4,5.8,6.2,7.6,7.5,8.1,18.6,8.5,9.6,7.4,7.9,6.4,28.1,27.3,15.6,21.4,7.6,26.6,73.4
짜장면,70200,8.2,8.5,8,8.9,8.6,8.3,8.5,8.8,8.5,8.3,7.8,7.6,14.1,26.5,24.5,23.8,11.2,46.7,53.3
짬뽕,78700,8,7.9,7.8,7.8,8.1,8.3,8.8,9.2,9.8,8.7,7.8,7.7,5.7,28,32.7,25.4,8.2,55,45
탕수육,26500,9.3,9.1,9,8.2,8.1,7.7,9.8,8.1,7.5,7.6,7.3,8.2,5.5,19.1,32.3,29.5,13.5,47,53
피자,170000,8.6,8.6,7.9,7.9,8.1,8.1,8.7,9.1,8,7.7,7.8,9.5,6.8,22.1,27.3,29.9,13.9,46.9,53.1
치킨,332000,8.5,8.5,7.9,8.4,8.4,8.7,8.8,9.2,7.7,7.8,7.7,8.6,7,21.7,27.7,31,12.6,54.3,45.7
햄버거,111000,7.5,7.7,8.1,8.3,8.6,8.8,9.6,9.2,8.7,7.9,8.1,7.5,7.6,25.7,28.8,26.4,11.6,50.1,49.9
밥버거,21800,7.6,7.5,9.6,8.9,8.4,9.1,8.5,8.9,8.3,8.8,7.8,6.7,13,37.3,23.6,21.7,4.4,34.2,65.8
족발,131000,8.1,8.4,8.2,8.4,8.3,8.4,9,9.5,7.8,7.6,7.5,8.7,4.9,20.9,27.7,31.9,14.6,56,44
보쌈,56000,6.1,5.7,5.8,6.5,19.9,12.2,8.4,7,5.9,6.3,9.2,7.1,8.6,24.8,27.1,27.4,12.1,40.8,59.3
냉면,56100,3.5,4,5.3,9.4,15.2,17.5,18.7,12.4,5,3.3,2.7,2.8,6.7,26.4,30.2,26.6,10.2,48.9,51.1
김밥,294000,6.7,7,8,9.7,9.4,8.5,8.9,10.2,9.1,9,7,6.6,4.1,21.2,35.5,31.5,7.8,31.2,68.8
쌀국수,134000,7.7,8,8.6,8.3,8.2,8.3,8.2,8.7,9,9.1,8.3,7.7,6.2,23.3,32,28.9,9.7,30.2,69.8
곱창,141000,8.6,7.7,8,7.8,7.7,9.6,10,9.2,8.5,7.8,7.5,7.7,10.3,31.4,28.3,22.5,7.5,38.9,61.1
순대국,115000,7.3,7.5,7.9,8,8.4,8.4,8.3,9.3,9.3,9.4,8.3,8,3,22.4,35.2,29.1,10.2,56.6,43.4
뼈해장국,50600,7.6,7.3,8,7.8,8.1,8.2,8.4,9.8,9,9.1,8.7,8.1,8.2,38.3,29.9,17.3,6.3,50.4,49.6
쌀국수,134000,7.7,8,8.6,8.3,8.2,8.3,8.2,8.7,9,9.1,8.3,7.7,6.2,23.3,32,28.9,9.7,30.2,69.8
칼국수,185000,7.5,7.1,7.9,8,8.2,8.1,8.4,9.4,9.4,9.7,8.3,8,5.3,32.8,31.9,30.1,9,37.1,62.9
비빔밥,42600,7.8,7.2,8,8.7,9.6,9.3,8.1,7.9,8.9,8,9.8,6.8,6.4,17.1,28.1,33.6,14.8,28.8,71.2
우동,39200,8.5,7.8,7.9,8.1,8.1,8.3,8.1,7.9,8.3,9.1,9.3,8.7,9.3,23.4,32.4,27.5,7.5,37,63
라면,85000,7.9,9.9,8.6,8.4,8.2,8.5,7.8,8,7.8,8.1,8.4,8.5,9.5,20.7,27.6,27.9,14.3,49.5,50.5
육개장,116000,8.8,8.4,8.3,8,7.9,7.9,8.6,8.6,9,8.6,8.2,7.8,6.4,22.4,26.4,27.6,17.1,38.6,61.4
설렁탕,74500,7.7,7.1,7.1,7.2,7.3,7.2,7.4,11,10.5,10.4,8.7,8.2,4.2,21.4,32.3,30.5,11.7,48.6,51.4
월남쌈,89500,8.7,8.6,13.4,8.9,8.6,8.3,8.1,8.1,7.1,6.6,6.2,7.5,5,21.7,31,29.7,12.6,18.5,81.5
간장게장,160000,7.5,7.4,7,8,7.7,7.1,9.9,10.1,12.1,8.6,7.2,7.3,3.4,17.7,23.5,29.8,25.6,34.5,65.5
김치찌개,115000,9.2,8.7,8.2,8.4,8.3,7.5,7.6,9,8.2,8.5,8.4,8.1,6,26.2,33.6,24.6,9.6,43.5,56.5
된장찌개,75200,8.8,8.1,8.5,8.4,7.9,8.2,8.2,9.1,8.4,8.5,7.8,8,3.6,21.7,39,24.4,11.3,32.2,67.8
순두부찌개,105000,8.9,8.3,9.5,8.3,7.5,7.8,7.7,8.7,8.5,8.7,8.1,8.1,3.9,23.7,36,25,11.3,25.3,74.7
감자탕,172000,8.4,8,7.8,7.7,7.9,8.1,8.1,8.8,8.8,9.3,8.7,8.5,5.2,23.9,30,30.1,10.9,42.4,57.6
콩국수,13600,1.2,1.4,2.2,4.7,12.7,23.6,29,17.4,3.8,1.7,1.1,1,3.6,20.7,30.5,29.9,15.3,39.5,60.5
팥죽,11100,6.2,4.8,3.5,2.7,2.5,2.5,2.4,2.5,2.7,3.3,5.2,61.6,5.2,13.2,20.9,36,24.8,23.8,76.2
전복죽,28300,8.5,9,7.9,8.6,9.1,9,10.4,9.4,8.2,6.7,6.5,6.7,1.3,9,31.2,38.7,19.8,22,78
추어탕,81000,6.9,7.2,7.8,7.5,7.8,8.3,10.6,10.4,9.1,9.1,8.1,7.1,2.7,14.4,28.7,34.6,19.6,41.7,58.3
닭볶음탕,150000,8.9,8.2,9,7.9,7.8,8.6,9.6,8.8,7.5,8,7.7,8.1,2.2,12.7,22,34.1,29,41.7,58.3
