보호센터명,관리기관명,구조대상동물,보호센터주소,위도,경도
(사)하얀비둘기,부산광역시 강서구,개+고양이+기타,부산광역시 강서구 제도로 726 (강동동) ,35.17749907,128.9170233
21세기동물병원,서울특별시 용산구,,서울특별시 용산구 보광동 259-1,,
21세기동물병원,전라북도 전주시,개+고양이+기타,전라북도 전주시 덕진구 송천동1가 626-42,35.86490518,127.1156061
24시아이동물메디컬,경기도 부천시,개+고양이+등,경기도 부천시 소사로 779 (원종동) 201호,37.525807,126.804569
C.T종합동물병원,서울특별시 마포구,개+고양이+토끼+기니피그+페럿+햄스터,서울특별시 마포구 만리재로 74 (신공덕동  신공덕2차삼성래미안) 삼성 래미안상가 117호,37.54685973,126.9583847
GD동물병원,서울특별시 강동구,개+고양이,서울특별시 강동구 상일로 13 (상일동) 1~2층 GD동물병원,37.54822,127.17312
cj동물병원,경기도 부천시,개+고양이+등,경기도 부천시 소향로 246 (중동  새롬프라자6차) ,37.500363,126.775129
가나동물병원,경기도 부천시,개+고양이+등,경기도 부천시 경인로 72 (송내동) ,37.483532,126.763174
가정동물병원,인천광역시 서구,개+고양이+기타반려동물,인천광역시 서구 가정로 346 (가정동) ,37.51566528,126.6730218
가평군유기동물보호소,경기도 가평군,개+고양이+기타,경기도 가평군 가평읍 아랫마장길 59 (가평읍  농업기술센터) 가평 유기동물 보호소(10:00~18:00),37.845717,127.4993363
강남동물병원,울산광역시 남구,개+고양이,울산광역시 남구 돋질로 232 (달동) 1층,35.54260419,129.3304742
강동구청 반려동물팀 ,서울특별시 강동구,,서울특별시 강동구 성내로 25 (성내동  강동구청) 강동구청 ,,
강동리본센터(reborn),서울특별시 강동구,개+고양이,서울특별시 강동구 양재대로81길 73 (성내동) ,37.523797,127.13026
강릉시 동물사랑센터,강원도 강릉시,개,강원도 강릉시 성산면 내맬길 172  ,37.69878866,128.8292763
강진군 유기견 보호소,전라남도 강진군,개,전라남도 강진군 강진읍 초지길 109-62 (강진읍  강진군상하수도사업소) ,34.62481446,126.7773975
강현림동물병원,서울특별시 양천구,개+고양이+기타,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403479,126.8624201
강현림동물병원,서울특별시 관악구,개+고양이+기타동물,서울특별시 양천구 등촌로 160 (목동) 1층,37.54403479,126.8624201
거제시유기동물보호소,경상남도 거제시,개+고양이,경상남도 거제시 사등면 두동로1길 109 (사등면  한국자원재생공사폐비닐적재장) 거제시유기동물보호소,34.88376759,128.573667
경동동물병원,인천광역시 동구,개+고양이,인천광역시 중구 개항로 68 (경동) 경동동물병원,37.47208,126.62985
경산시유기동물보호소,경상북도 경산시,개+고양이,경상북도 경산시 용성면 사양지길 95 (용성면) ,35.7783974,128.8850778
경주동물사랑보호센터,경상북도 경주시,개+고양이+기타,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,35.86081739,129.2196562
계룡시유기동물보호소,충청남도 계룡시,개+고양이,충청남도 계룡시 엄사면 천마로 12 ,36.28059619,127.2411018
고려동물병원,경기도 파주시,개+고양이,경기도 파주시 새꽃로 62 (금촌동) ,37.755458,126.768962
고성군유기동물보호소,경상남도 고성군,개+고양이,경상남도 고성군 고성읍 남해안대로 2829-60  고성군농업기술센터 동물보호센터,34.99682063,128.3253797
고양시동물보호센터,경기도 고양시,개+고양이+기타축종,경기도 고양시 덕양구 고양대로 1695 (원흥동  고양시 농업기술센터) 고양시동물보호센터,37.6497794,126.8700846
고흥군임시보호센터,전라남도 고흥군,개,전라남도 고흥군 포두면 우주로 607 (포두면  소매점) ,34.57054646,127.3410099
공주시 동물보호소,충청남도 공주시,개+고양이+기타,충청남도 공주시 우성면 내산목천길 52-15  ,36.4928715,127.1000738
광명반함센터,경기도 광명시,개,경기도 광명시 오리로854번길 10 (철산동) 지하1층,37.47436903,126.8684667
광양시 임시보호소,전라남도 광양시,개+고양이+기타,전라남도 광양시 봉강면 인덕로 1169-20 (봉강면) 지곡리 864-24,34.98887002,127.5778596
광주 동물보호소,광주광역시 북구,개+고양이+기타,광주광역시 북구 본촌마을길 27 (본촌동) 광주광역시 동물보호소,35.22293555,126.8816461
광주TNR동물병원송정,경기도 광주시,개+고양이+반려동물,경기도 광주시 경안천로 142 (송정동) 광주TNR동물병원,37.41746533,127.2753027
광주TNR동물병원초월,경기도 광주시,개+고양이+반려동물,경기도 광주시 초월읍 현산로385번길 74-12 (초월읍) ,37.415927,127.275782
괴산증평동물보호센터,충청북도 괴산군,개,충청북도 증평군 도안면 입장길 239 (도안면) ,36.84696652,127.6082346
구례군동물보호센터,전라남도 구례군,개,전라남도 구례군 용방면 용방로 64-11  ,35.2224167,127.4587803
구미시 동물보호센터,경상북도 구미시,개+고양이,경상북도 구미시 해평면 낙동대로 2206  ,36.20341318,128.3704965
군산유기동물보호센터,전라북도 군산시,개+고양이+기타,전라북도 군산시 대야면 보덕안정길 108-20  ,35.96081487,126.816308
김천시 동물보호센터,경상북도 김천시,개+고양이+기타,경상북도 김천시 조마로 2128 (양천동) ,36.08404304,128.1188821
